Dataset,Resample,accuracy,balanced_accuracy,auroc,log_loss
GesturePebbleZ1,Resample_8,0.9651162790697675,0.9656443463396722,0.9793316598600357,1.257336746131994
GesturePebbleZ1,Resample_9,0.9534883720930233,0.9562499999999999,0.9725741363899258,1.6764489948426584
GesturePebbleZ1,Resample_10,0.9709302325581395,0.9698989898989899,0.9826837738761334,1.0477806217766616
GesturePebbleZ1,Resample_11,0.9302325581395349,0.9312757114481252,0.9593372869272151,2.5146734922639875
GesturePebbleZ1,Resample_12,0.9186046511627907,0.9240024564186488,0.951474677171669,2.9337857409746517
GesturePebbleZ1,Resample_13,0.9418604651162791,0.9444789990767002,0.9655123534433879,2.095561243553323
GesturePebbleZ1,Resample_14,0.9709302325581395,0.969196806777452,0.9821924300535598,1.0477806217766614
GesturePebbleZ1,Resample_15,0.9418604651162791,0.9440790584437511,0.9651397297706024,2.095561243553323
GesturePebbleZ1,Resample_16,0.9418604651162791,0.9466161389884508,0.9656098125433927,2.095561243553323
GesturePebbleZ1,Resample_17,0.9593023255813954,0.9645021645021644,0.9760838535364531,1.466892870487326
GesturePebbleZ1,Resample_18,0.9534883720930233,0.9570203081232495,0.972643613875389,1.6764489948426584
GesturePebbleZ1,Resample_19,0.9593023255813954,0.9628427128427129,0.9764992641648271,1.466892870487326
GesturePebbleZ1,Resample_20,0.936046511627907,0.9419464036920934,0.9623223394627505,2.305117367908655
GesturePebbleZ1,Resample_21,0.9651162790697675,0.9677986764193661,0.9793782538400935,1.257336746131994
GesturePebbleZ1,Resample_22,0.877906976744186,0.8881971051511282,0.9275459900459901,4.400678611461978
GesturePebbleZ1,Resample_23,0.9418604651162791,0.9455136684303351,0.9655172413793104,2.095561243553323
GesturePebbleZ1,Resample_24,0.9593023255813954,0.9581684981684981,0.9759093056211621,1.466892870487326
GesturePebbleZ1,Resample_25,0.9418604651162791,0.9430824667031564,0.9647455393349553,2.095561243553323
GesturePebbleZ1,Resample_26,0.9534883720930233,0.9525793650793651,0.972544727826418,1.6764489948426584
GesturePebbleZ1,Resample_27,0.9476744186046512,0.945072106803741,0.968908982843029,1.8860051191979905
GesturePebbleZ1,Resample_28,0.9418604651162791,0.9466660918273823,0.9658333333333335,2.095561243553323
GesturePebbleZ1,Resample_29,0.936046511627907,0.9384493284493285,0.9626517348265173,2.305117367908655
GunPointAgeSpan,Resample_0,0.9968354430379747,0.996875,0.9968750000000001,0.11406219426935828
GunPointAgeSpan,Resample_1,0.990506329113924,0.9904427970346623,0.9904427970346624,0.3421865828080744
GunPointAgeSpan,Resample_2,0.9936708860759493,0.9936305732484076,0.9936305732484076,0.22812438853871633
GunPointAgeSpan,Resample_3,0.9936708860759493,0.9936584386915512,0.9936584386915512,0.2281243885387164
GunPointAgeSpan,Resample_4,0.9936708860759493,0.9935483870967742,0.9935483870967742,0.2281243885387164
GunPointAgeSpan,Resample_5,0.990506329113924,0.9905630134241634,0.9905630134241634,0.3421865828080744
GunPointAgeSpan,Resample_6,1.0,1.0,1.0,2.220446049250313e-16
GunPointAgeSpan,Resample_7,0.9746835443037974,0.9740566983439594,0.9740566983439594,0.9124975541548648
GunPointAgeSpan,Resample_8,0.9873417721518988,0.9873336540003206,0.9873336540003206,0.4562487770774325
GunPointAgeSpan,Resample_9,0.9936708860759493,0.99375,0.99375,0.22812438853871633
GunPointAgeSpan,Resample_10,0.990506329113924,0.9909638554216867,0.9909638554216867,0.34218658280807446
GunPointAgeSpan,Resample_11,0.9968354430379747,0.9967105263157895,0.9967105263157895,0.1140621942693583
GunPointAgeSpan,Resample_12,0.990506329113924,0.9903471804134056,0.9903471804134055,0.34218658280807446
GunPointAgeSpan,Resample_13,0.9936708860759493,0.9936645414812142,0.9936645414812142,0.22812438853871633
GunPointAgeSpan,Resample_14,0.990506329113924,0.9908536585365854,0.9908536585365854,0.34218658280807446
GunPointAgeSpan,Resample_15,0.9936708860759493,0.99375,0.99375,0.22812438853871633
GunPointAgeSpan,Resample_16,0.990506329113924,0.9905630134241634,0.9905630134241635,0.3421865828080744
GunPointAgeSpan,Resample_17,0.9873417721518988,0.9878787878787878,0.9878787878787878,0.4562487770774325
GunPointAgeSpan,Resample_18,0.9841772151898734,0.9843315184513006,0.9843315184513006,0.5703109713467905
GunPointAgeSpan,Resample_19,0.9778481012658228,0.9782608695652174,0.9782608695652174,0.7984353598855068
GunPointAgeSpan,Resample_20,0.990506329113924,0.990909090909091,0.9909090909090909,0.34218658280807446
GunPointAgeSpan,Resample_21,0.9810126582278481,0.98079313525001,0.98079313525001,0.6843731656161487
GunPointAgeSpan,Resample_22,0.9968354430379747,0.9969879518072289,0.996987951807229,0.11406219426935828
GunPointAgeSpan,Resample_23,0.990506329113924,0.9904647435897436,0.9904647435897436,0.34218658280807446
GunPointAgeSpan,Resample_24,0.990506329113924,0.990506329113924,0.990506329113924,0.34218658280807446
GunPointAgeSpan,Resample_25,0.9968354430379747,0.9970059880239521,0.997005988023952,0.11406219426935828
GunPointAgeSpan,Resample_26,0.9841772151898734,0.9839265672599006,0.9839265672599006,0.5703109713467905
GunPointAgeSpan,Resample_27,0.990506329113924,0.9906425702811245,0.9906425702811243,0.3421865828080744
GunPointAgeSpan,Resample_28,0.9873417721518988,0.9873336540003206,0.9873336540003206,0.4562487770774325
GunPointAgeSpan,Resample_29,0.9936708860759493,0.9936706325361535,0.9936706325361535,0.22812438853871633
MelbournePedestrian,Resample_0,0.8806888068880688,0.8806105006105007,0.9337293835796244,4.300411289968467
MelbournePedestrian,Resample_1,0.8786387863878639,0.8797340249015144,0.932724956504952,4.374301518318441
MelbournePedestrian,Resample_2,0.8880688806888068,0.8879830772718911,0.9378892183055657,4.034406467908562
MelbournePedestrian,Resample_3,0.8761787617876179,0.8750859313210271,0.9312729737513865,4.462969792338409
MelbournePedestrian,Resample_4,0.8851988519885199,0.885914548073019,0.9362834685182672,4.137852787598525
MelbournePedestrian,Resample_5,0.8712587125871258,0.8717775085700804,0.9284485536718003,4.640306340378346
MelbournePedestrian,Resample_6,0.8778187781877819,0.8800586286274426,0.932208213561308,4.403857609658431
MelbournePedestrian,Resample_7,0.8876588765887659,0.8893340630968639,0.9375767120169413,4.049184513578557
MelbournePedestrian,Resample_8,0.8815088150881509,0.8822171301981501,0.9342346163851402,4.270855198628477
MelbournePedestrian,Resample_9,0.8872488724887249,0.8863553940212618,0.9373958993200625,4.0639625592485515
MelbournePedestrian,Resample_10,0.8856088560885609,0.8863874079794257,0.9365798171424807,4.12307474192853
MelbournePedestrian,Resample_11,0.8864288642886429,0.8866099540056329,0.9369599747589972,4.093518650588541
MelbournePedestrian,Resample_12,0.8876588765887659,0.8874809419527642,0.9376296750329348,4.049184513578558
MelbournePedestrian,Resample_13,0.8868388683886839,0.8861424428333209,0.9371328604511711,4.078740604918546
MelbournePedestrian,Resample_14,0.8884788847888478,0.8880616301226956,0.9379649569139723,4.019628422238568
MelbournePedestrian,Resample_15,0.9015990159901599,0.900847846513153,0.9453748648976937,3.546730960798736
MelbournePedestrian,Resample_16,0.8843788437884379,0.8852468570393801,0.935897357307258,4.167408878938515
MelbournePedestrian,Resample_17,0.8888888888888888,0.8907755253384047,0.9382407791883598,4.004850376568573
MelbournePedestrian,Resample_18,0.8868388683886839,0.8870867252265155,0.9370905877825312,4.078740604918547
MelbournePedestrian,Resample_19,0.8769987699876999,0.8787128061498597,0.9317786033248611,4.433413700998421
MelbournePedestrian,Resample_20,0.8909389093890939,0.8894197053230337,0.9394304819850796,3.930960148218599
MelbournePedestrian,Resample_21,0.8757687576875769,0.8757513871830872,0.9309544657087541,4.477747838008404
MelbournePedestrian,Resample_22,0.8856088560885609,0.8842466026642631,0.9364814615639039,4.12307474192853
MelbournePedestrian,Resample_23,0.8983189831898319,0.8980793841519272,0.9436238905328295,3.6649553261586933
MelbournePedestrian,Resample_24,0.8876588765887659,0.8867202584744476,0.9375863630196014,4.049184513578558
MelbournePedestrian,Resample_25,0.8884788847888478,0.8878819179861812,0.9380179138403582,4.019628422238568
MelbournePedestrian,Resample_26,0.8704387043870438,0.8692943521014499,0.9279889351094258,4.669862431718335
MelbournePedestrian,Resample_27,0.8942189421894219,0.8940839434681855,0.9412385640051836,3.812735782858641
MelbournePedestrian,Resample_28,0.8798687986879868,0.8795809862687183,0.9332567765769721,4.329967381308457
MelbournePedestrian,Resample_29,0.8806888068880688,0.8808010710595144,0.9337965456235207,4.300411289968467
SmoothSubspace,Resample_0,0.9933333333333333,0.9933333333333333,0.995,0.24029102259411456
SmoothSubspace,Resample_1,0.98,0.979148181011535,0.9851214574898784,0.7208730677823433
SmoothSubspace,Resample_2,0.9866666666666667,0.9858187134502924,0.9902999062792877,0.4805820451882289
SmoothSubspace,Resample_3,0.96,0.9614127702362997,0.9702338422865469,1.4417461355646863
SmoothSubspace,Resample_4,0.98,0.980125383486728,0.98499899989999,0.7208730677823433
SmoothSubspace,Resample_5,0.96,0.9600790513833992,0.9697874493927127,1.4417461355646863
SmoothSubspace,Resample_6,0.9733333333333334,0.9745718050065877,0.9804836252856054,0.9611640903764577
SmoothSubspace,Resample_7,0.9733333333333334,0.9738562091503268,0.9802436125965538,0.9611640903764577
SmoothSubspace,Resample_8,0.96,0.9611992945326279,0.9716435185185185,1.4417461355646863
SmoothSubspace,Resample_9,0.9666666666666667,0.9636118598382749,0.9751683044954885,1.2014551129705722
SmoothSubspace,Resample_10,0.98,0.9787234042553191,0.9848484848484848,0.7208730677823433
SmoothSubspace,Resample_11,0.96,0.9593929450369155,0.9702171396759026,1.4417461355646863
SmoothSubspace,Resample_12,0.9933333333333333,0.9934640522875817,0.994949494949495,0.24029102259411456
SmoothSubspace,Resample_13,0.98,0.9798411465078133,0.9849726447182646,0.7208730677823433
SmoothSubspace,Resample_14,0.9533333333333334,0.9549882846220249,0.9649238218825849,1.6820371581588005
SmoothSubspace,Resample_15,0.9666666666666667,0.9688903863432166,0.9756002342377511,1.2014551129705722
SmoothSubspace,Resample_16,0.98,0.9779314888010541,0.9857583454281568,0.7208730677823433
SmoothSubspace,Resample_17,0.9733333333333334,0.9743589743589743,0.979886185243328,0.9611640903764577
SmoothSubspace,Resample_18,0.98,0.9821428571428571,0.986111111111111,0.7208730677823433
SmoothSubspace,Resample_19,0.98,0.9801750068362045,0.9850912975912975,0.7208730677823433
SmoothSubspace,Resample_20,0.9733333333333334,0.9736390591237862,0.9801794711588525,0.9611640903764577
SmoothSubspace,Resample_21,0.9533333333333334,0.9531658817373104,0.964740351586179,1.6820371581588005
SmoothSubspace,Resample_22,0.9666666666666667,0.9657784743991641,0.9746095320819057,1.2014551129705722
SmoothSubspace,Resample_23,0.9733333333333334,0.9753086419753086,0.9803921568627452,0.9611640903764577
SmoothSubspace,Resample_24,0.9666666666666667,0.9673732102234712,0.9748363527174456,1.2014551129705722
SmoothSubspace,Resample_25,0.98,0.9798374905517763,0.9845997973657549,0.7208730677823433
SmoothSubspace,Resample_26,0.9866666666666667,0.9870598482020654,0.9897692869819397,0.4805820451882289
SmoothSubspace,Resample_27,0.9866666666666667,0.987450152474783,0.9898923201950426,0.4805820451882289
SmoothSubspace,Resample_28,0.98,0.9813650128115535,0.9850178244532227,0.7208730677823433
SmoothSubspace,Resample_29,0.9866666666666667,0.9866184932423391,0.9899909918927033,0.4805820451882289
