Dataset,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,Resample_21,0.325,0.3446553446553447,0.7334462006736503,1.659344335298855
DodgerLoopDay,Resample_22,0.4,0.37715792978950874,0.8085829605764301,1.306913630503197
DodgerLoopDay,Resample_23,0.425,0.41666666666666663,0.6716029585785301,1.5702020274053523
DodgerLoopDay,Resample_24,0.45,0.4291486291486291,0.8144941598895192,1.5454911156907474
DodgerLoopDay,Resample_25,0.3875,0.3507326007326007,0.7527180841855345,1.5775708163418984
DodgerLoopDay,Resample_26,0.3375,0.37768440709617185,0.8076515444657131,1.6513129949121794
DodgerLoopDay,Resample_27,0.375,0.4047064047064047,0.8162512345720044,1.4737695067690972
DodgerLoopDay,Resample_28,0.475,0.49126766091051804,0.8237515356784954,1.3462355215115447
DodgerLoopDay,Resample_29,0.4,0.42093620665049236,0.7293228971909478,1.4910310327399254
GesturePebbleZ1,Resample_0,0.7906976744186046,0.789528226051678,0.9796515960063108,0.5802797112313881
GesturePebbleZ1,Resample_1,0.8313953488372093,0.8460737179487179,0.9892744452059287,0.48377507189892044
GesturePebbleZ1,Resample_2,0.8604651162790697,0.8580495818399044,0.989227156214122,0.4487009404827731
GesturePebbleZ1,Resample_3,0.9069767441860465,0.9123631023496616,0.9908604924617584,0.47444360641892996
GesturePebbleZ1,Resample_4,0.872093023255814,0.8642178725901246,0.9902839521047956,0.42175640756988775
GesturePebbleZ1,Resample_5,0.877906976744186,0.8759269762495568,0.9938292146625901,0.41699624073502256
GesturePebbleZ1,Resample_6,0.9302325581395349,0.935483870967742,0.9954872321454244,0.4136352699958536
GesturePebbleZ1,Resample_7,0.8895348837209303,0.8901751505199781,0.9883847555033402,0.4407895671568158
GesturePebbleZ1,Resample_8,0.9593023255813954,0.9621952999562109,0.9954856056216924,0.413520638287087
GesturePebbleZ1,Resample_9,0.8953488372093024,0.8941810344827587,0.9917571681550409,0.3813332343007413
GesturePebbleZ1,Resample_10,0.8953488372093024,0.8902623047450634,0.9900762233207847,0.40184067259957335
GesturePebbleZ1,Resample_11,0.8604651162790697,0.8606640862387988,0.9884143227033502,0.46355762361050645
GesturePebbleZ1,Resample_12,0.9069767441860465,0.9065364497053302,0.9954794476689022,0.39671582592349586
GesturePebbleZ1,Resample_13,0.9186046511627907,0.9177834723811734,0.9922272092032937,0.45117994090730734
GesturePebbleZ1,Resample_14,0.9244186046511628,0.9292570869990225,0.9973365120953605,0.3534542070198608
GesturePebbleZ1,Resample_15,0.8255813953488372,0.8397515769142455,0.9783494744045702,0.5657061692156319
GesturePebbleZ1,Resample_16,0.8837209302325582,0.8817261116305647,0.9796075970632491,0.4561155981038382
GesturePebbleZ1,Resample_17,0.813953488372093,0.8165095398428731,0.9779839176603852,0.5467402105982639
GesturePebbleZ1,Resample_18,0.877906976744186,0.8781325835487174,0.9918905290483554,0.4465169504901049
GesturePebbleZ1,Resample_19,0.8953488372093024,0.902802657113002,0.9943054835355494,0.3764993893490075
GesturePebbleZ1,Resample_20,0.8604651162790697,0.8653118313678659,0.9783211375842503,0.504220244714577
GesturePebbleZ1,Resample_21,0.8837209302325582,0.883510435924229,0.9907615490384966,0.4820233305362223
GesturePebbleZ1,Resample_22,0.8895348837209303,0.8971560846560847,0.9901988138564746,0.4597724878150864
GesturePebbleZ1,Resample_23,0.8197674418604651,0.8200286596119929,0.9795645884798231,0.5170549736835576
GesturePebbleZ1,Resample_24,0.8604651162790697,0.8543519443519442,0.9836138202329452,0.48395827269145747
GesturePebbleZ1,Resample_25,0.8953488372093024,0.8962129781670011,0.9915792115778704,0.3922373527490834
GesturePebbleZ1,Resample_26,0.8837209302325582,0.8811507936507937,0.995015456416128,0.4071615412034035
GesturePebbleZ1,Resample_27,0.872093023255814,0.8685934630087554,0.9888258354983368,0.42226145789062536
GesturePebbleZ1,Resample_28,0.9011627906976745,0.9010429050751632,0.9877045995484751,0.4553513426965315
GesturePebbleZ1,Resample_29,0.877906976744186,0.8867178573060928,0.9927759163729107,0.4609746740658937
GunPointAgeSpan,Resample_0,0.7215189873417721,0.7215544871794872,0.8457131410256411,0.4814270246141152
GunPointAgeSpan,Resample_1,0.75,0.7520136245241434,0.8440793428170706,0.4655078369416498
GunPointAgeSpan,Resample_2,0.7246835443037974,0.7245723671033129,0.8394423747145775,0.47826552613806006
GunPointAgeSpan,Resample_3,0.7468354430379747,0.747180413405579,0.8429460164559502,0.4651781291882369
GunPointAgeSpan,Resample_4,0.7784810126582279,0.7800841514726508,0.8669004207573633,0.45422312111970947
GunPointAgeSpan,Resample_5,0.7341772151898734,0.7373271889400921,0.8026848326988579,0.5337348463724275
GunPointAgeSpan,Resample_6,0.7626582278481012,0.7689386328015111,0.8485512197082345,0.47069614531939913
GunPointAgeSpan,Resample_7,0.740506329113924,0.7388427763743535,0.8331328441397009,0.4740380167546894
GunPointAgeSpan,Resample_8,0.7626582278481012,0.7601811768478435,0.8508297258297257,0.4608133612774908
GunPointAgeSpan,Resample_9,0.7310126582278481,0.7306089743589743,0.8282051282051281,0.47658715548069697
GunPointAgeSpan,Resample_10,0.7310126582278481,0.7304819277108434,0.8253012048192772,0.5040523847179239
GunPointAgeSpan,Resample_11,0.7626582278481012,0.7624358151476252,0.8713093709884467,0.43021505884968014
GunPointAgeSpan,Resample_12,0.7531645569620253,0.754926750953241,0.851555287979129,0.44944146580604927
GunPointAgeSpan,Resample_13,0.7025316455696202,0.7014314928425358,0.800914230722964,0.5256807196990586
GunPointAgeSpan,Resample_14,0.7310126582278481,0.7326700898587932,0.8308327984595636,0.5003711973049884
GunPointAgeSpan,Resample_15,0.7183544303797469,0.7188301282051281,0.8047676282051281,0.5334196967802886
GunPointAgeSpan,Resample_16,0.7436708860759493,0.7432779002203966,0.860228411140052,0.4551458870176412
GunPointAgeSpan,Resample_17,0.7183544303797469,0.7156933574152118,0.8255669275536826,0.49165665494058036
GunPointAgeSpan,Resample_18,0.7563291139240507,0.7732809034079451,0.8377495462794918,0.5164499462981206
GunPointAgeSpan,Resample_19,0.7183544303797469,0.7201162091765176,0.8261671007814065,0.49237743753555074
GunPointAgeSpan,Resample_20,0.7246835443037974,0.7256873369456152,0.8699177202488462,0.452862743137047
GunPointAgeSpan,Resample_21,0.7721518987341772,0.7771362123581539,0.8444203857412086,0.4869822229789387
GunPointAgeSpan,Resample_22,0.7468354430379747,0.7448995983935742,0.8492570281124499,0.4520779334997132
GunPointAgeSpan,Resample_23,0.7436708860759493,0.7423878205128205,0.833233173076923,0.477533295687697
GunPointAgeSpan,Resample_24,0.7879746835443038,0.7879746835443038,0.8579554558564332,0.468152946982847
GunPointAgeSpan,Resample_25,0.6867088607594937,0.6894867982156493,0.8182695012659245,0.5097676703816856
GunPointAgeSpan,Resample_26,0.7436708860759493,0.746312329645663,0.7938512105178771,0.527414147894225
GunPointAgeSpan,Resample_27,0.7056962025316456,0.7140963855421687,0.8334136546184738,0.5280497074212696
GunPointAgeSpan,Resample_28,0.7088607594936709,0.706269039602373,0.8182219015552349,0.5092598775957027
GunPointAgeSpan,Resample_29,0.7373417721518988,0.7373112206064976,0.8276649441172936,0.542770093644284
MelbournePedestrian,Resample_0,0.8359983599835998,0.8352956567242282,0.9735743316749134,0.6258788154258669
MelbournePedestrian,Resample_1,0.8331283312833129,0.834090339670501,0.972465220699535,0.6159984859228714
MelbournePedestrian,Resample_2,0.8241082410824109,0.8221488205375497,0.9714280021913202,0.6577690378142871
MelbournePedestrian,Resample_3,0.8351783517835178,0.8325281115263381,0.9725652490419928,0.6343058953940987
MelbournePedestrian,Resample_4,0.8302583025830258,0.8302820149574727,0.9744068855286738,0.627847775794643
MelbournePedestrian,Resample_5,0.8208282082820828,0.8209174637119527,0.9715889868587257,0.6357605642979685
MelbournePedestrian,Resample_6,0.8224682246822468,0.8236983971225322,0.9714181398197343,0.6370578536326135
MelbournePedestrian,Resample_7,0.8347683476834769,0.8355761791692959,0.9702409937696381,0.6528677343515312
MelbournePedestrian,Resample_8,0.8310783107831078,0.8302172191293751,0.9729540561232962,0.6401052799245213
MelbournePedestrian,Resample_9,0.8376383763837638,0.8358275259030774,0.9700473741798099,0.6271151374650343
MelbournePedestrian,Resample_10,0.8204182041820418,0.8211677108098021,0.971310191576007,0.6639572539948321
MelbournePedestrian,Resample_11,0.8372283722837228,0.8368364370465219,0.973603107212079,0.6301400464157287
