Dataset,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,Resample_0,0.4625,0.4606726606726607,0.6858230767972342,19.373463696650468
DodgerLoopDay,Resample_1,0.4,0.4017109874252731,0.653545006257062,21.62619203347029
DodgerLoopDay,Resample_2,0.475,0.439239332096475,0.696750109793588,18.922918029286503
DodgerLoopDay,Resample_3,0.35,0.3572324500895929,0.6214935823563464,23.428374702926146
DodgerLoopDay,Resample_4,0.35,0.3298867798867799,0.6219423898280256,23.428374702926146
DodgerLoopDay,Resample_5,0.45,0.458773765916623,0.6841025877866324,19.824009364014433
DodgerLoopDay,Resample_6,0.4375,0.4084395996160701,0.679764006311793,20.274555031378394
DodgerLoopDay,Resample_7,0.4125,0.40753532182103613,0.6613661509857828,21.175646366106328
DodgerLoopDay,Resample_8,0.4,0.40751153608296464,0.6467469989125977,21.62619203347029
DodgerLoopDay,Resample_9,0.325,0.401883830455259,0.5987717257866512,24.32946603765408
DodgerLoopDay,Resample_10,0.45,0.4687740830597974,0.6785254978635901,19.824009364014433
DodgerLoopDay,Resample_11,0.3625,0.35229532372389516,0.6288418612091171,22.977829035562184
DodgerLoopDay,Resample_12,0.3625,0.3970362970362971,0.6273092785011148,22.977829035562184
DodgerLoopDay,Resample_13,0.5,0.46061854811854813,0.7112835123986807,18.021826694558577
DodgerLoopDay,Resample_14,0.425,0.39291264291264294,0.6688571622862964,20.72510069874236
DodgerLoopDay,Resample_15,0.3375,0.33063603063603064,0.6108489794360313,23.87892037029011
DodgerLoopDay,Resample_16,0.4,0.39816294816294817,0.6467493565884173,21.62619203347029
DodgerLoopDay,Resample_17,0.35,0.3451041022469594,0.6225140138489802,23.428374702926146
DodgerLoopDay,Resample_18,0.425,0.41807081807081803,0.6670638846246929,20.72510069874236
DodgerLoopDay,Resample_19,0.4375,0.44502422180993617,0.6768496392166448,20.274555031378394
DodgerLoopDay,Resample_20,0.4125,0.39940059940059947,0.6569475876009067,21.175646366106328
DodgerLoopDay,Resample_21,0.4625,0.48151848151848153,0.6855844998609438,19.373463696650468
DodgerLoopDay,Resample_22,0.4875,0.47342394447657604,0.7042123888976582,18.472372361922538
DodgerLoopDay,Resample_23,0.4,0.40437816152101863,0.6492098742274953,21.62619203347029
DodgerLoopDay,Resample_24,0.425,0.4116883116883117,0.6659846701445415,20.72510069874236
DodgerLoopDay,Resample_25,0.4625,0.46800976800976807,0.6886192008538025,19.373463696650468
DodgerLoopDay,Resample_26,0.375,0.4334913452560511,0.6372893997657505,22.52728336819822
DodgerLoopDay,Resample_27,0.4125,0.42087277801563516,0.6549840011100762,21.175646366106328
DodgerLoopDay,Resample_28,0.4125,0.37891374498517355,0.6570380119948205,21.175646366106328
DodgerLoopDay,Resample_29,0.3625,0.38310974739546166,0.6248300903813586,22.977829035562184
GesturePebbleZ1,Resample_0,0.6627906976744186,0.6557756107118825,0.7978376049005437,12.154255212609272
GesturePebbleZ1,Resample_1,0.6453488372093024,0.6539451942984552,0.7875641539134417,12.782923585675272
GesturePebbleZ1,Resample_2,0.6627906976744186,0.6632666268418955,0.7968793902662337,12.154255212609272
GesturePebbleZ1,Resample_3,0.6976744186046512,0.7041158189679696,0.8171498100531654,10.89691846647728
GesturePebbleZ1,Resample_4,0.6569767441860465,0.6626044974976385,0.7979200607946489,12.363811336964606
GesturePebbleZ1,Resample_5,0.6976744186046512,0.6937639705492876,0.8199433276350356,10.896918466477278
GesturePebbleZ1,Resample_6,0.6453488372093024,0.6514069727382426,0.7868875595165313,12.782923585675272
GesturePebbleZ1,Resample_7,0.6453488372093024,0.6453536459283585,0.786809050926948,12.782923585675272
GesturePebbleZ1,Resample_8,0.686046511627907,0.6841250397144746,0.8121993126272016,11.316030715187944
GesturePebbleZ1,Resample_9,0.6744186046511628,0.6871715927750411,0.8049042446540526,11.735142963898609
GesturePebbleZ1,Resample_10,0.7558139534883721,0.7539538622297243,0.8533194182990269,8.801357222923956
GesturePebbleZ1,Resample_11,0.6802325581395349,0.6818094217519505,0.8107918863240122,11.525586839543276
GesturePebbleZ1,Resample_12,0.6686046511627907,0.6713916749495498,0.8023325653878064,11.944699088253941
GesturePebbleZ1,Resample_13,0.686046511627907,0.6763486071050031,0.8139242520956447,11.316030715187946
GesturePebbleZ1,Resample_14,0.6744186046511628,0.6883952427500816,0.8042241881726622,11.735142963898609
GesturePebbleZ1,Resample_15,0.686046511627907,0.6932707824527539,0.8123313785394323,11.316030715187942
GesturePebbleZ1,Resample_16,0.686046511627907,0.6861734996450402,0.8142426820595537,11.316030715187942
GesturePebbleZ1,Resample_17,0.7034883720930233,0.7051980118646785,0.8246508378712005,10.687362342121947
GesturePebbleZ1,Resample_18,0.6627906976744186,0.6610800721254685,0.8001047025624293,12.154255212609272
GesturePebbleZ1,Resample_19,0.686046511627907,0.6914216052147086,0.813556550674803,11.316030715187942
GesturePebbleZ1,Resample_20,0.7151162790697675,0.7167659328219674,0.828636142144445,10.26825009341128
GesturePebbleZ1,Resample_21,0.75,0.7490271414409345,0.8509938610342452,9.010913347279288
GesturePebbleZ1,Resample_22,0.5872093023255814,0.6068653834458432,0.754570976705865,14.878484829228592
GesturePebbleZ1,Resample_23,0.7267441860465116,0.7283344356261022,0.8364385065180354,9.849137844700618
GesturePebbleZ1,Resample_24,0.6395348837209303,0.6502268102268102,0.7848458801144561,12.992479710030603
GesturePebbleZ1,Resample_25,0.6744186046511628,0.6781755154168946,0.804574116270028,11.735142963898607
GesturePebbleZ1,Resample_26,0.7151162790697675,0.7166170634920634,0.8290427248173726,10.268250093411282
GesturePebbleZ1,Resample_27,0.6104651162790697,0.6111074332963389,0.7661252077557439,14.040260331807264
GesturePebbleZ1,Resample_28,0.6569767441860465,0.6683324304292045,0.7974195111024754,12.363811336964606
GesturePebbleZ1,Resample_29,0.686046511627907,0.7009352085822674,0.813895417786664,11.316030715187942
GunPointAgeSpan,Resample_0,0.9841772151898734,0.984375,0.984375,0.5703109713467905
GunPointAgeSpan,Resample_1,0.990506329113924,0.9905630134241634,0.9905630134241634,0.3421865828080744
GunPointAgeSpan,Resample_2,0.9968354430379747,0.9968553459119497,0.9968553459119497,0.11406219426935828
GunPointAgeSpan,Resample_3,0.990506329113924,0.9906281356612483,0.9906281356612482,0.3421865828080744
GunPointAgeSpan,Resample_4,0.9936708860759493,0.9937888198757764,0.9937888198757764,0.22812438853871633
GunPointAgeSpan,Resample_5,0.990506329113924,0.9905630134241634,0.9905630134241634,0.3421865828080744
GunPointAgeSpan,Resample_6,0.9968354430379747,0.9966442953020134,0.9966442953020135,0.11406219426935828
GunPointAgeSpan,Resample_7,0.9746835443037974,0.9744576767312242,0.9744576767312243,0.9124975541548648
GunPointAgeSpan,Resample_8,0.990506329113924,0.9905804072470739,0.9905804072470737,0.3421865828080744
GunPointAgeSpan,Resample_9,0.990506329113924,0.9905448717948718,0.9905448717948718,0.34218658280807446
GunPointAgeSpan,Resample_10,0.9746835443037974,0.9755823293172691,0.975582329317269,0.9124975541548647
GunPointAgeSpan,Resample_11,0.9873417721518988,0.9873234916559692,0.9873234916559691,0.4562487770774325
GunPointAgeSpan,Resample_12,0.9968354430379747,0.996969696969697,0.996969696969697,0.1140621942693583
GunPointAgeSpan,Resample_13,0.9968354430379747,0.9967320261437909,0.9967320261437909,0.1140621942693583
GunPointAgeSpan,Resample_14,0.9841772151898734,0.9847560975609756,0.9847560975609756,0.5703109713467905
GunPointAgeSpan,Resample_15,0.9715189873417721,0.971875,0.9718749999999999,1.026559748424223
GunPointAgeSpan,Resample_16,0.9873417721518988,0.9873372069725506,0.9873372069725506,0.4562487770774325
GunPointAgeSpan,Resample_17,0.9810126582278481,0.9815372265703391,0.9815372265703391,0.6843731656161487
GunPointAgeSpan,Resample_18,0.9841772151898734,0.9832829199435369,0.9832829199435369,0.5703109713467905
GunPointAgeSpan,Resample_19,0.9746835443037974,0.9749148467241033,0.9749148467241034,0.9124975541548648
GunPointAgeSpan,Resample_20,0.9936708860759493,0.9939393939393939,0.993939393939394,0.22812438853871633
GunPointAgeSpan,Resample_21,0.990506329113924,0.990396567625005,0.990396567625005,0.3421865828080744
GunPointAgeSpan,Resample_22,0.9778481012658228,0.9785943775100401,0.9785943775100401,0.7984353598855068
GunPointAgeSpan,Resample_23,0.9841772151898734,0.9842147435897436,0.9842147435897436,0.5703109713467905
GunPointAgeSpan,Resample_24,0.9936708860759493,0.9936708860759493,0.9936708860759493,0.22812438853871633
GunPointAgeSpan,Resample_25,0.9873417721518988,0.9876622593738698,0.9876622593738696,0.4562487770774325
GunPointAgeSpan,Resample_26,0.990506329113924,0.9905804072470739,0.9905804072470739,0.3421865828080744
GunPointAgeSpan,Resample_27,0.9936708860759493,0.9939759036144578,0.9939759036144578,0.22812438853871633
GunPointAgeSpan,Resample_28,0.9778481012658228,0.9780743947410614,0.9780743947410613,0.7984353598855068
GunPointAgeSpan,Resample_29,0.9936708860759493,0.9936706325361535,0.9936706325361535,0.22812438853871633
MelbournePedestrian,Resample_0,0.8774087740877409,0.8771341357055642,0.9319016819733058,4.418635655328425
MelbournePedestrian,Resample_1,0.8741287412874129,0.8745709055987112,0.930171637499872,4.5368600206883825
MelbournePedestrian,Resample_2,0.8810988109881098,0.8808681210218564,0.9340035302296709,4.285633244298472
MelbournePedestrian,Resample_3,0.8765887658876589,0.8754832657535456,0.9315012325498991,4.448191746668415
MelbournePedestrian,Resample_4,0.8856088560885609,0.886151819868432,0.9364778644433954,4.12307474192853
MelbournePedestrian,Resample_5,0.8749487494874949,0.8752458624622665,0.9304765119327909,4.507303929348393
MelbournePedestrian,Resample_6,0.8823288232882329,0.8841411925945145,0.9346856716815087,4.241299107288489
MelbournePedestrian,Resample_7,0.8905289052890529,0.8919940521023004,0.9391697305829816,3.945738193888594
MelbournePedestrian,Resample_8,0.8876588765887659,0.8885607019627685,0.9376575125933291,4.049184513578558
MelbournePedestrian,Resample_9,0.8819188191881919,0.8813705820059381,0.9344477808822489,4.256077152958483
MelbournePedestrian,Resample_10,0.8880688806888068,0.8891118315080601,0.9379118327614698,4.034406467908562
MelbournePedestrian,Resample_11,0.8856088560885609,0.8857050268816034,0.936471602293539,4.12307474192853
MelbournePedestrian,Resample_12,0.8876588765887659,0.8874705603953398,0.9376260010495828,4.049184513578557
MelbournePedestrian,Resample_13,0.8942189421894219,0.8935158350353628,0.9412657926001915,3.812735782858641
MelbournePedestrian,Resample_14,0.8892988929889298,0.8887665850638031,0.9384583076558835,3.990072330898578
MelbournePedestrian,Resample_15,0.897908979089791,0.8971034788418549,0.9433411944993183,3.679733371828688
MelbournePedestrian,Resample_16,0.8794587945879458,0.8799031084533482,0.9331453883103172,4.344745426978451
MelbournePedestrian,Resample_17,0.8868388683886839,0.8887657473118622,0.9370991342640198,4.078740604918546
MelbournePedestrian,Resample_18,0.8938089380893809,0.8943272213027758,0.9409942682518534,3.8275138285286365
MelbournePedestrian,Resample_19,0.8720787207872078,0.8737965291588056,0.9290227657675549,4.6107502490383565
MelbournePedestrian,Resample_20,0.8942189421894219,0.8926458017754134,0.941247248831931,3.812735782858641
MelbournePedestrian,Resample_21,0.8864288642886429,0.8863627711538387,0.936881795629399,4.093518650588541
MelbournePedestrian,Resample_22,0.8909389093890939,0.8897118277086452,0.9394240196707717,3.9309601482185985
MelbournePedestrian,Resample_23,0.8938089380893809,0.893427670170374,0.9410922864665655,3.8275138285286356
MelbournePedestrian,Resample_24,0.8860188601886019,0.8852068139636401,0.936684654641656,4.108296696258536
MelbournePedestrian,Resample_25,0.8868388683886839,0.8862962175214868,0.9371197684022576,4.078740604918546
MelbournePedestrian,Resample_26,0.8860188601886019,0.8849795208572229,0.9366659985633282,4.108296696258536
MelbournePedestrian,Resample_27,0.8892988929889298,0.8891331917819605,0.9385045178917242,3.990072330898578
MelbournePedestrian,Resample_28,0.8843788437884379,0.8839264143099497,0.9357743112367507,4.167408878938515
MelbournePedestrian,Resample_29,0.8872488724887249,0.8871742393666324,0.9374057424914857,4.0639625592485515
SmoothSubspace,Resample_0,0.8266666666666667,0.8266666666666667,0.87,6.247566587446973
SmoothSubspace,Resample_1,0.7733333333333333,0.7722809281815493,0.8313239066821662,8.169894768199889
SmoothSubspace,Resample_2,0.8133333333333334,0.8243876199933796,0.863034233253721,6.728148632635202
SmoothSubspace,Resample_3,0.8333333333333334,0.8302498850058299,0.8746980404400654,6.007275564852859
SmoothSubspace,Resample_4,0.7933333333333333,0.7919247699079631,0.8447909790979098,7.4490217004175445
SmoothSubspace,Resample_5,0.8466666666666667,0.8434083514828856,0.885092395879264,5.52669351966463
SmoothSubspace,Resample_6,0.8266666666666667,0.8235971068269206,0.8702950254539625,6.247566587446973
SmoothSubspace,Resample_7,0.8,0.7965686274509803,0.8495246583481878,7.208730677823431
SmoothSubspace,Resample_8,0.86,0.8544973544973544,0.8935185185185185,5.046111474476402
SmoothSubspace,Resample_9,0.8,0.8002014756731738,0.8510098269729307,7.208730677823431
SmoothSubspace,Resample_10,0.8333333333333334,0.8363873645475648,0.8751933842086408,6.007275564852859
SmoothSubspace,Resample_11,0.8266666666666667,0.8304594465623274,0.8696921635065966,6.247566587446973
SmoothSubspace,Resample_12,0.8333333333333334,0.8349673202614379,0.8749257278669044,6.007275564852858
SmoothSubspace,Resample_13,0.8466666666666667,0.8442113442113443,0.8854808432807084,5.52669351966463
SmoothSubspace,Resample_14,0.8666666666666667,0.8708198619890943,0.899475023830694,4.805820451882288
SmoothSubspace,Resample_15,0.8266666666666667,0.8381872767514738,0.8718021214212839,6.247566587446973
SmoothSubspace,Resample_16,0.82,0.8206851119894599,0.8681986776326399,6.487857610041087
SmoothSubspace,Resample_17,0.8133333333333334,0.8180044593088072,0.860969387755102,6.728148632635202
SmoothSubspace,Resample_18,0.8133333333333334,0.8185286935286936,0.8612156446502951,6.728148632635202
SmoothSubspace,Resample_19,0.8,0.7987903939262333,0.8492473305617636,7.2087306778234295
SmoothSubspace,Resample_20,0.8266666666666667,0.8213820392800271,0.8692065380209709,6.247566587446974
SmoothSubspace,Resample_21,0.8333333333333334,0.8358189429618,0.8753283491614468,6.007275564852859
SmoothSubspace,Resample_22,0.82,0.813871473354232,0.8641686371020927,6.487857610041087
SmoothSubspace,Resample_23,0.8266666666666667,0.8240740740740741,0.8707107843137254,6.247566587446973
SmoothSubspace,Resample_24,0.7933333333333333,0.7879379098086444,0.8437088379541589,7.449021700417546
SmoothSubspace,Resample_25,0.8,0.796787603930461,0.8496845125242006,7.208730677823431
SmoothSubspace,Resample_26,0.8666666666666667,0.8625162969094027,0.8978795763167827,4.805820451882287
SmoothSubspace,Resample_27,0.7733333333333333,0.7704095270826855,0.8305848463757388,8.169894768199889
SmoothSubspace,Resample_28,0.8066666666666666,0.7968353024664272,0.8559742027170246,6.968439655229316
SmoothSubspace,Resample_29,0.86,0.8635327177840225,0.895701131017916,5.046111474476402
