Dataset,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,Resample_24,0.475,0.45184498041640897,0.6977837415791666,18.922918029286503
DodgerLoopDay,Resample_25,0.475,0.4721001221001221,0.7007032028056772,18.922918029286503
DodgerLoopDay,Resample_26,0.425,0.4724628312863607,0.6670818760370999,20.72510069874236
DodgerLoopDay,Resample_27,0.4625,0.47125097125097126,0.6829146867122939,19.373463696650468
DodgerLoopDay,Resample_28,0.4375,0.3780743066457352,0.668244917225826,20.274555031378394
DodgerLoopDay,Resample_29,0.4625,0.4814828029113744,0.6821808022365338,19.373463696650468
GesturePebbleZ1,Resample_0,0.8081395348837209,0.808144860887955,0.8851445930741864,6.915352103725965
GesturePebbleZ1,Resample_1,0.8604651162790697,0.8696838336783989,0.918039703699812,5.029346984527975
GesturePebbleZ1,Resample_2,0.8953488372093024,0.8950617283950617,0.9367654201068478,3.772010238395981
GesturePebbleZ1,Resample_3,0.9011627906976745,0.9007339136371394,0.941728564047854,3.5624541140406487
GesturePebbleZ1,Resample_4,0.877906976744186,0.8755094692108041,0.9270853193141696,4.400678611461978
GesturePebbleZ1,Resample_5,0.8488372093023255,0.851795360738631,0.9089815265857235,5.44845923323864
GesturePebbleZ1,Resample_6,0.877906976744186,0.8818897003111349,0.9266406638247279,4.400678611461978
GesturePebbleZ1,Resample_7,0.9302325581395349,0.9303335765979445,0.9580905205905206,2.514673492263988
GesturePebbleZ1,Resample_8,0.8895348837209303,0.8902304349860458,0.9341729389649656,3.981566362751314
GesturePebbleZ1,Resample_9,0.8953488372093024,0.9005952380952381,0.9387014301487986,3.772010238395981
GesturePebbleZ1,Resample_10,0.9244186046511628,0.9229397422500871,0.9550463524513303,2.72422961661932
GesturePebbleZ1,Resample_11,0.872093023255814,0.8750888427612565,0.9244653646452208,4.6102347358173095
GesturePebbleZ1,Resample_12,0.872093023255814,0.8798730961918818,0.9242419372784375,4.6102347358173095
GesturePebbleZ1,Resample_13,0.9011627906976745,0.9037836742693992,0.9413681663131407,3.5624541140406487
