Dataset,Normalization,Resample,accuracy,balanced_accuracy,auroc,log_loss
DodgerLoopDay,tanh_estimator,Resample_0,0.575,0.5703629703629705,0.7523258751910887,15.31855269037479
DodgerLoopDay,tanh_estimator,Resample_1,0.425,0.40540094825809103,0.669340047621161,20.72510069874236
DodgerLoopDay,tanh_estimator,Resample_2,0.5,0.46730055658627095,0.7115722441809399,18.021826694558577
DodgerLoopDay,tanh_estimator,Resample_3,0.4625,0.4628530199958772,0.6898338805593802,19.373463696650468
DodgerLoopDay,tanh_estimator,Resample_4,0.4,0.3823260073260073,0.6530452490319079,21.62619203347029
DodgerLoopDay,tanh_estimator,Resample_5,0.5,0.4989229024943311,0.7148892146789981,18.021826694558577
DodgerLoopDay,tanh_estimator,Resample_6,0.5875,0.5547099958864665,0.7598309443430822,14.868007023010824
DodgerLoopDay,tanh_estimator,Resample_7,0.525,0.5125065410779696,0.7263306218774321,17.120735359830643
DodgerLoopDay,tanh_estimator,Resample_8,0.4875,0.5193473193473194,0.7003855855807297,18.472372361922538
DodgerLoopDay,tanh_estimator,Resample_9,0.4,0.4472527472527473,0.6447838728435744,21.62619203347029
DodgerLoopDay,tanh_estimator,Resample_10,0.55,0.5590266875981161,0.7390840826921294,16.219644025102717
DodgerLoopDay,tanh_estimator,Resample_11,0.5625,0.5510703582132154,0.7463834586988003,15.769098357738756
DodgerLoopDay,tanh_estimator,Resample_12,0.4125,0.4318070818070819,0.6573552691037786,21.175646366106328
DodgerLoopDay,tanh_estimator,Resample_13,0.5625,0.5247377622377621,0.7488029455955173,15.769098357738752
DodgerLoopDay,tanh_estimator,Resample_14,0.5375,0.5158064158064158,0.7352513374450155,16.670189692466682
DodgerLoopDay,tanh_estimator,Resample_15,0.4625,0.46062271062271065,0.687250630297544,19.373463696650468
DodgerLoopDay,tanh_estimator,Resample_16,0.4375,0.4469086469086469,0.6686227990316944,20.274555031378394
DodgerLoopDay,tanh_estimator,Resample_17,0.4625,0.4730571016285302,0.6894861517335492,19.373463696650468
DodgerLoopDay,tanh_estimator,Resample_18,0.5125,0.5084249084249084,0.7197772234813622,17.571281027194612
DodgerLoopDay,tanh_estimator,Resample_19,0.5,0.5120593692022263,0.7179363313180888,18.021826694558577
DodgerLoopDay,tanh_estimator,Resample_20,0.5,0.49642024642024646,0.710099257094142,18.021826694558577
DodgerLoopDay,tanh_estimator,Resample_21,0.5125,0.5194805194805195,0.7161876950650475,17.571281027194612
DodgerLoopDay,tanh_estimator,Resample_22,0.575,0.5619104579630896,0.7570836816699893,15.31855269037479
DodgerLoopDay,tanh_estimator,Resample_23,0.525,0.5290598290598291,0.7222961120542395,17.120735359830647
DodgerLoopDay,tanh_estimator,Resample_24,0.525,0.5072768501339929,0.7309770169675635,17.120735359830647
DodgerLoopDay,tanh_estimator,Resample_25,0.525,0.5106227106227107,0.7307025036692771,17.120735359830647
DodgerLoopDay,tanh_estimator,Resample_26,0.45,0.5045536163183223,0.6874552837239405,19.824009364014433
DodgerLoopDay,tanh_estimator,Resample_27,0.5125,0.5387707530564673,0.7141942960142227,17.571281027194612
DodgerLoopDay,tanh_estimator,Resample_28,0.4625,0.46538679574393854,0.6855206212842877,19.373463696650468
DodgerLoopDay,tanh_estimator,Resample_29,0.45,0.4759668902526045,0.6777459430908064,19.824009364014433
GesturePebbleZ1,tanh_estimator,Resample_0,0.8662790697674418,0.863841699968415,0.9201659940287968,4.819790860172643
GesturePebbleZ1,tanh_estimator,Resample_1,0.8488372093023255,0.8570884429580081,0.9100883190554258,5.44845923323864
GesturePebbleZ1,tanh_estimator,Resample_2,0.8895348837209303,0.8833333333333333,0.9333171442447791,3.9815663627513134
GesturePebbleZ1,tanh_estimator,Resample_3,0.9534883720930233,0.9497382943619502,0.9720973940051454,1.6764489948426584
GesturePebbleZ1,tanh_estimator,Resample_4,0.9069767441860465,0.9080067386756191,0.9441727917906798,3.352897989685317
GesturePebbleZ1,tanh_estimator,Resample_5,0.9011627906976745,0.9041486470518727,0.9407560992152534,3.5624541140406487
GesturePebbleZ1,tanh_estimator,Resample_6,0.9069767441860465,0.9094031240055003,0.943896431769117,3.352897989685317
GesturePebbleZ1,tanh_estimator,Resample_7,0.9127906976744186,0.9127516268320867,0.9476492377354447,3.1433418653299836
GesturePebbleZ1,tanh_estimator,Resample_8,0.8953488372093024,0.8960720391519318,0.9374623452851463,3.772010238395981
GesturePebbleZ1,tanh_estimator,Resample_9,0.9069767441860465,0.9107707307060756,0.9446053628895542,3.352897989685317
GesturePebbleZ1,tanh_estimator,Resample_10,0.9127906976744186,0.9052166224580017,0.947568873577324,3.1433418653299845
GesturePebbleZ1,tanh_estimator,Resample_11,0.8953488372093024,0.9031071954922529,0.9388538538538539,3.772010238395981
GesturePebbleZ1,tanh_estimator,Resample_12,0.9244186046511628,0.9264459069171277,0.9549564624913918,2.7242296166193194
GesturePebbleZ1,tanh_estimator,Resample_13,0.9069767441860465,0.9091849088373004,0.9447350327559955,3.352897989685317
GesturePebbleZ1,tanh_estimator,Resample_14,0.9069767441860465,0.9108553274682308,0.9430478331125439,3.352897989685317
GesturePebbleZ1,tanh_estimator,Resample_15,0.872093023255814,0.8792595409911752,0.924189650766832,4.6102347358173095
GesturePebbleZ1,tanh_estimator,Resample_16,0.8953488372093024,0.8932752952227588,0.938086421793897,3.772010238395981
GesturePebbleZ1,tanh_estimator,Resample_17,0.8604651162790697,0.8650104216770883,0.9178735209815128,5.029346984527975
GesturePebbleZ1,tanh_estimator,Resample_18,0.8837209302325582,0.886126250016915,0.931490637511222,4.191122487106646
GesturePebbleZ1,tanh_estimator,Resample_19,0.8837209302325582,0.889815644125989,0.9314200043197971,4.191122487106646
GesturePebbleZ1,tanh_estimator,Resample_20,0.8895348837209303,0.8975966562173459,0.9344155846317816,3.981566362751314
GesturePebbleZ1,tanh_estimator,Resample_21,0.9011627906976745,0.9024277255311738,0.9409919099095352,3.5624541140406487
GesturePebbleZ1,tanh_estimator,Resample_22,0.8255813953488372,0.8338540716414279,0.8963696570440991,6.286683730659969
GesturePebbleZ1,tanh_estimator,Resample_23,0.8895348837209303,0.8911871693121692,0.9341167214012042,3.9815663627513134
GesturePebbleZ1,tanh_estimator,Resample_24,0.8837209302325582,0.8762024395357728,0.9301526098940589,4.191122487106646
GesturePebbleZ1,tanh_estimator,Resample_25,0.9011627906976745,0.9006863102840114,0.9403573790032835,3.5624541140406487
GesturePebbleZ1,tanh_estimator,Resample_26,0.9302325581395349,0.9273809523809523,0.9588435266252169,2.5146734922639875
GesturePebbleZ1,tanh_estimator,Resample_27,0.8662790697674418,0.856669230319905,0.9194154176611448,4.819790860172643
GesturePebbleZ1,tanh_estimator,Resample_28,0.9186046511627907,0.9153843468359598,0.9517691095350669,2.933785740974652
GesturePebbleZ1,tanh_estimator,Resample_29,0.9127906976744186,0.9157085398261868,0.9486442175066728,3.1433418653299845
GunPointAgeSpan,tanh_estimator,Resample_0,0.9240506329113924,0.9241987179487179,0.924198717948718,2.7374926624645943
GunPointAgeSpan,tanh_estimator,Resample_1,0.9430379746835443,0.9431376477659787,0.9431376477659789,2.053119496848445
GunPointAgeSpan,tanh_estimator,Resample_2,0.9208860759493671,0.9208228177703001,0.9208228177703001,2.851554856733952
GunPointAgeSpan,tanh_estimator,Resample_3,0.9240506329113924,0.9255869957856713,0.9255869957856713,2.737492662464594
GunPointAgeSpan,tanh_estimator,Resample_4,0.9462025316455697,0.9463634542175916,0.9463634542175917,1.9390573025790874
GunPointAgeSpan,tanh_estimator,Resample_5,0.9113924050632911,0.912322179923863,0.912322179923863,3.1937414395420265
GunPointAgeSpan,tanh_estimator,Resample_6,0.9462025316455697,0.9458465619097376,0.9458465619097376,1.9390573025790874
GunPointAgeSpan,tanh_estimator,Resample_7,0.9082278481012658,0.908837563655319,0.908837563655319,3.307803633811384
GunPointAgeSpan,tanh_estimator,Resample_8,0.9177215189873418,0.9175084175084175,0.9175084175084175,2.9656170510033104
GunPointAgeSpan,tanh_estimator,Resample_9,0.9113924050632911,0.9114583333333333,0.9114583333333333,3.1937414395420265
GunPointAgeSpan,tanh_estimator,Resample_10,0.9462025316455697,0.948152610441767,0.9481526104417671,1.9390573025790876
